Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.8225,0.8276,0.8649,0.8649,0.5735,0.5533,0.5025,0.8026,0.5022,1990
0.821,0.8256,0.8627,0.8622,0.5787,0.56,0.4971,0.8037,0.497,1991
0.8356,0.8389,0.8665,0.8658,0.5714,0.5531,0.5097,0.795,0.5092,1992
0.8223,0.8272,0.8649,0.8647,0.5673,0.5463,0.5104,0.7957,0.5106,1993
0.8268,0.8311,0.866,0.8656,0.5724,0.5542,0.5076,0.7955,0.5081,1994
