Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8118,0.6718,0.4245,0.8139,0.3788,0.7037,0.3971,1990
0.8053,0.6674,0.4486,0.8092,0.3649,0.7146,0.3761,1991
0.8206,0.6915,0.4726,0.8246,0.3579,0.7145,0.359,1992
0.8031,0.6783,0.4398,0.8055,0.3688,0.705,0.3835,1993
0.8074,0.6893,0.4508,0.8117,0.369,0.7023,0.3675,1994
