Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8053,0.7046,0.453,0.8069,0.3669,0.7125,0.3667,1990
0.8206,0.698,0.4595,0.8241,0.3768,0.7018,0.4082,1991
0.8184,0.7068,0.4464,0.8213,0.3593,0.7224,0.3773,1992
0.8293,0.7068,0.4573,0.8279,0.3557,0.7305,0.367,1993
0.8249,0.7024,0.4508,0.8282,0.3425,0.7432,0.3531,1994
