Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.8289,0.8331,0.869,0.8685,0.5737,0.5555,0.5031,0.8006,0.5031,1990
0.8126,0.8188,0.8652,0.8655,0.5785,0.5548,0.5128,0.8051,0.5129,1991
0.8148,0.8203,0.8641,0.864,0.5819,0.5645,0.4962,0.8046,0.4962,1992
0.8045,0.8116,0.8558,0.8567,0.583,0.5645,0.5,0.8057,0.5002,1993
0.8015,0.809,0.8624,0.8633,0.5641,0.5467,0.507,0.7981,0.507,1994
