Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8118,0.6893,0.4398,0.815,0.3621,0.7182,0.3663,1990
0.814,0.7024,0.4398,0.8176,0.3659,0.7167,0.3806,1991
0.814,0.6849,0.4398,0.8176,0.3729,0.7129,0.3876,1992
0.8228,0.6718,0.4376,0.8264,0.3626,0.7179,0.3884,1993
0.8206,0.7002,0.4442,0.8239,0.3718,0.7017,0.3954,1994
