Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.8347,0.8381,0.8696,0.8687,0.5729,0.5551,0.4997,0.8016,0.4996,1990
0.8201,0.826,0.8682,0.8686,0.5656,0.5463,0.5133,0.7944,0.5138,1991
0.8139,0.8201,0.8671,0.8674,0.5817,0.5649,0.498,0.8036,0.4979,1992
0.8131,0.8192,0.8646,0.8649,0.5789,0.5593,0.5017,0.7998,0.5018,1993
0.8315,0.8355,0.8685,0.868,0.5639,0.5471,0.5093,0.7998,0.5092,1994
