Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8359,0.698,0.4464,0.8373,0.367,0.7194,0.4048,1990
0.8096,0.7046,0.4114,0.8158,0.3731,0.7064,0.3953,1991
0.8096,0.6893,0.442,0.8133,0.3771,0.7002,0.4019,1992
0.8315,0.709,0.4683,0.835,0.3562,0.7224,0.3763,1993
0.8031,0.6915,0.453,0.8052,0.3602,0.7132,0.3803,1994
