Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8206,0.6915,0.4398,0.8239,0.3604,0.7221,0.371,1990
0.8271,0.698,0.4442,0.8292,0.3647,0.7108,0.3809,1991
0.8249,0.6827,0.4004,0.8271,0.3775,0.7055,0.3868,1992
0.8359,0.7112,0.4683,0.8367,0.3515,0.7316,0.3668,1993
0.8249,0.6871,0.4398,0.8277,0.3576,0.724,0.3569,1994
