Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8184,0.709,0.4333,0.8237,0.3718,0.7133,0.379,1990
0.8184,0.6915,0.4333,0.8226,0.3771,0.7127,0.4106,1991
0.814,0.709,0.4267,0.817,0.3746,0.705,0.3865,1992
0.8249,0.7068,0.4376,0.8279,0.3725,0.7042,0.4101,1993
0.8162,0.709,0.4508,0.8221,0.3565,0.7258,0.3857,1994
