Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.8131,0.819,0.8619,0.8621,0.5742,0.5553,0.5015,0.7985,0.5016,1990
0.8208,0.8262,0.8663,0.8664,0.5703,0.5525,0.5023,0.7993,0.5025,1991
0.8122,0.8192,0.866,0.867,0.5804,0.5621,0.5052,0.7997,0.505,1992
0.8154,0.8218,0.8652,0.8658,0.5714,0.5523,0.5081,0.796,0.5079,1993
0.8272,0.8323,0.8646,0.8649,0.58,0.5587,0.5082,0.8004,0.5082,1994
