Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.814,0.6915,0.4376,0.8195,0.3654,0.7198,0.3632,1990
0.8184,0.7046,0.4245,0.823,0.3696,0.7241,0.3724,1991
0.8315,0.7046,0.4398,0.835,0.3646,0.7169,0.3742,1992
0.8206,0.698,0.4508,0.8236,0.3485,0.737,0.3632,1993
0.814,0.6608,0.4048,0.817,0.3734,0.7112,0.3824,1994
