Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.8126,0.8186,0.8613,0.8616,0.5744,0.5555,0.5012,0.7991,0.5013,1990
0.8296,0.8343,0.8663,0.8664,0.5759,0.5559,0.5071,0.7935,0.5072,1991
0.8165,0.8229,0.8668,0.8675,0.5797,0.5606,0.5047,0.8002,0.5046,1992
0.8062,0.8134,0.8577,0.8588,0.5688,0.549,0.5125,0.7981,0.5123,1993
0.821,0.8267,0.8682,0.8685,0.5787,0.5589,0.5038,0.8025,0.5037,1994
