Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8162,0.6827,0.4136,0.8218,0.3726,0.7099,0.3955,1990
0.8053,0.6761,0.4048,0.8081,0.3955,0.663,0.4153,1991
0.814,0.6915,0.4683,0.818,0.3647,0.7158,0.3823,1992
0.8293,0.6915,0.407,0.8325,0.374,0.7056,0.3881,1993
0.8228,0.7133,0.453,0.8264,0.3676,0.7098,0.3825,1994
