Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.836,0.84,0.8737,0.8733,0.5776,0.5591,0.4998,0.8053,0.4997,1990
0.8064,0.8135,0.8663,0.8669,0.5834,0.5615,0.5056,0.8043,0.5057,1991
0.8088,0.8159,0.8676,0.8684,0.5731,0.557,0.5079,0.7973,0.5083,1992
0.8073,0.8138,0.8619,0.8622,0.5787,0.5578,0.5043,0.8068,0.5048,1993
0.8242,0.8291,0.8668,0.8667,0.5656,0.5486,0.5095,0.7968,0.5094,1994
