Model,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss
msalm,"(79.08, 5.31)","(67.97, 3.7)","(41.53, 3.22)","(79.57, 4.98)","(38.87, 5.21)","(69.54, 5.39)","(41.49, 6.87)"
msalm,"(77.59, 6.33)","(65.95, 6.09)","(39.96, 6.53)","(78.21, 5.99)","(40.55, 7.66)","(66.99, 8.63)","(43.27, 9.38)"
