Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.8315,0.8357,0.8704,0.87,0.5729,0.5533,0.5038,0.8037,0.5036,1990
0.8008,0.8085,0.861,0.862,0.5802,0.5587,0.5061,0.805,0.5061,1991
0.8156,0.8222,0.8707,0.8713,0.5703,0.5529,0.5075,0.7989,0.508,1992
0.818,0.8237,0.8704,0.8705,0.5765,0.5566,0.5026,0.8061,0.503,1993
0.8219,0.8271,0.8685,0.8684,0.5662,0.5488,0.509,0.7975,0.509,1994
