Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.8212,0.8267,0.8657,0.866,0.5718,0.5523,0.5098,0.8008,0.5095,1990
0.8158,0.8223,0.8685,0.8691,0.5697,0.551,0.5066,0.8002,0.507,1991
0.8032,0.8106,0.8605,0.8614,0.5785,0.5583,0.5114,0.7969,0.511,1992
0.8242,0.829,0.8671,0.8669,0.5754,0.5553,0.5088,0.8009,0.5083,1993
0.842,0.8452,0.8704,0.8699,0.5739,0.5555,0.5011,0.8009,0.5009,1994
