Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,seed
0.8322,0.8364,0.8704,0.8701,0.5694,0.5508,0.5018,0.805,0.5017,1990
0.8002,0.8078,0.8608,0.8617,0.5793,0.5593,0.5051,0.805,0.5051,1991
0.8128,0.8196,0.8709,0.8716,0.5705,0.5542,0.5056,0.8001,0.5061,1992
0.812,0.8181,0.8663,0.8664,0.5804,0.5598,0.5034,0.8074,0.5038,1993
0.8251,0.83,0.8668,0.8668,0.5679,0.5508,0.5078,0.798,0.5078,1994
