Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8053,0.6871,0.4136,0.8111,0.3742,0.7114,0.4029,1990
0.8206,0.7002,0.4617,0.8248,0.3547,0.7266,0.3741,1991
0.8293,0.6958,0.4354,0.8315,0.3823,0.6929,0.4215,1992
0.8118,0.674,0.4114,0.8179,0.3752,0.7133,0.4012,1993
0.8074,0.698,0.4464,0.8113,0.378,0.6951,0.3876,1994
