Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8118,0.6827,0.4223,0.8165,0.3717,0.7183,0.3821,1990
0.7943,0.6915,0.4289,0.7992,0.3726,0.7103,0.4004,1991
0.8009,0.7024,0.4333,0.8057,0.3594,0.7292,0.3643,1992
0.8315,0.6958,0.4179,0.8335,0.3585,0.7295,0.3807,1993
0.8096,0.7046,0.4442,0.814,0.3681,0.7148,0.3834,1994
