Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8271,0.7243,0.4792,0.8292,0.3542,0.7148,0.3725,1990
0.8228,0.709,0.4792,0.8261,0.3662,0.7089,0.3902,1991
0.8249,0.698,0.4376,0.8289,0.3694,0.7106,0.3845,1992
0.8271,0.6871,0.442,0.8294,0.3765,0.7036,0.3888,1993
0.8118,0.6937,0.4376,0.8158,0.3698,0.7033,0.3713,1994
