Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8184,0.6871,0.4398,0.8223,0.364,0.7192,0.3701,1990
0.8074,0.7046,0.4508,0.8117,0.362,0.7202,0.378,1991
0.8096,0.6718,0.4136,0.8133,0.3784,0.7079,0.3911,1992
0.8118,0.6893,0.4661,0.8165,0.3589,0.7219,0.3863,1993
0.8184,0.7002,0.4551,0.8219,0.3695,0.707,0.3914,1994
