Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8315,0.6958,0.4442,0.834,0.3588,0.7255,0.3754,1990
0.8074,0.6958,0.4551,0.812,0.3549,0.7297,0.3667,1991
0.8206,0.6915,0.4508,0.8254,0.3557,0.7268,0.3633,1992
0.8031,0.6958,0.4551,0.807,0.3653,0.7193,0.379,1993
0.7965,0.6849,0.4333,0.8016,0.3614,0.7171,0.3933,1994
