Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8184,0.7024,0.4376,0.8228,0.3653,0.722,0.3694,1990
0.814,0.6937,0.4617,0.8168,0.3646,0.7195,0.3822,1991
0.8206,0.698,0.4267,0.825,0.368,0.7156,0.3805,1992
0.8293,0.6937,0.4442,0.8325,0.3606,0.7215,0.3708,1993
0.8249,0.7133,0.4508,0.8302,0.3572,0.728,0.3792,1994
