Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8425,0.709,0.4376,0.8431,0.3616,0.7215,0.3938,1990
0.8206,0.6871,0.4267,0.8219,0.3841,0.6795,0.4217,1991
0.7965,0.6761,0.4158,0.8009,0.3865,0.6822,0.4121,1992
0.7659,0.6652,0.4026,0.7746,0.3971,0.6952,0.4304,1993
0.8293,0.7046,0.4267,0.8331,0.3802,0.6979,0.3968,1994
