Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed
0.8096,0.6849,0.4223,0.8138,0.3711,0.7119,0.387,1990
0.8184,0.7002,0.4311,0.8199,0.3744,0.7101,0.3897,1991
0.8118,0.7112,0.4748,0.8167,0.3563,0.7267,0.3701,1992
0.8162,0.698,0.4267,0.8198,0.3647,0.7225,0.3682,1993
0.8249,0.6958,0.4289,0.8291,0.3666,0.7214,0.3775,1994
